[START OF SIMULATION]
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x0B
0x00000180:	s8 [r1+0],r3             	MEM[0x000001F7]=R3=0x0B
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x000001F8,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x00000008,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x16
0x00000180:	s8 [r1+0],r3             	MEM[0x000001F8]=R3=0x16
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x000001F9,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x00000009,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x28
0x00000180:	s8 [r1+0],r3             	MEM[0x000001F9]=R3=0x28
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x000001FA,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x0000000A,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x0C
0x00000180:	s8 [r1+0],r3             	MEM[0x000001FA]=R3=0x0C
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x000001FB,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x0000000B,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x1F
0x00000180:	s8 [r1+0],r3             	MEM[0x000001FB]=R3=0x1F
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x000001FC,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x0000000C,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x17
0x00000180:	s8 [r1+0],r3             	MEM[0x000001FC]=R3=0x17
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x000001FD,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x0000000D,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x1F
0x00000180:	s8 [r1+0],r3             	MEM[0x000001FD]=R3=0x1F
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x000001FE,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x0000000E,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x0C
0x00000180:	s8 [r1+0],r3             	MEM[0x000001FE]=R3=0x0C
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x000001FF,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x0000000F,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x0F
0x00000180:	s8 [r1+0],r3             	MEM[0x000001FF]=R3=0x0F
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x00000200,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x00000010,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x11
0x00000180:	s8 [r1+0],r3             	MEM[0x00000200]=R3=0x11
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x00000201,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x00000011,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x0C
0x00000180:	s8 [r1+0],r3             	MEM[0x00000201]=R3=0x0C
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x00000202,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x00000012,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x67
0x00000180:	s8 [r1+0],r3             	MEM[0x00000202]=R3=0x67
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x00000203,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x00000013,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x84
0x00000180:	s8 [r1+0],r3             	MEM[0x00000203]=R3=0x84
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x00000204,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x00000014,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x5A
0x00000180:	s8 [r1+0],r3             	MEM[0x00000204]=R3=0x5A
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x00000205,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x00000015,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x0C
0x00000180:	s8 [r1+0],r3             	MEM[0x00000205]=R3=0x0C
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x00000206,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x00000016,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0xBF
0x00000180:	s8 [r1+0],r3             	MEM[0x00000206]=R3=0xBF
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x00000207,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x00000017,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
0x00000178:	beq 5                    	PC=0x0000017C
0x0000017C:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x64
0x00000180:	s8 [r1+0],r3             	MEM[0x00000207]=R3=0x64
0x00000184:	addi r1,r1,1             	R1=R1+0x00000001=0x00000208,SR=0x00000000
0x00000188:	addi r4,r4,1             	R4=R4+0x00000001=0x00000018,SR=0x00000000
0x0000018C:	bun -7                   	PC=0x00000174
0x00000174:	cmp r4,r5                	SR=0x00000011
